id	pathogen_nm	url	image	taxonomy	binomial_nm	synonyms	status
71	Black spot	https://en.wikipedia.org/wiki/Diplocarpon_rosae	https://upload.wikimedia.org/wikipedia/commons/2/23/Black_spot.jpg	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Leotiomycetes,Order:Helotiales,Family:Drepanopezizaceae,Genus:Diplocarpon	Diplocarpon rosae		 020: Synonym (taxonomy) row not found>
72	Black stripe	https://en.wikipedia.org/wiki/Phytophthora_palmivora	https://upload.wikimedia.org/wikipedia/commons/5/51/Brokencoconut.jpg	Domain:Eukaryota,Clade:Diaphoretickes,Clade:SAR,Clade:Stramenopiles,Phylum:Oomycota,Order:Peronosporales,Family:Peronosporaceae,Genus:Phytophthora	Phytophthora palmivora	Kawakamia carica,Phytophthora arecae,Phytophthora cactorum,Phytophthora carica,Phytophthora carica,Phytophthora faberi,Phytophthora heveae,Phytophthora omnivora,Phytophthora palmivora,Phytophthora palmivora,Phytophthora palmivora,Phytophthora palmivora,Phytophthora palmivora,Phytophthora parasitica,Phytophthora parasitica,Phytophthora theobromae,Pythium palmivorum	
73	Blossom blight	https://en.wikipedia.org/wiki/Monilinia_laxa	https://upload.wikimedia.org/wikipedia/commons/b/bd/Ambox_globe_content.svg	Kingdom:Fungi,Division:Ascomycota,Class:Leotiomycetes,Order:Helotiales,Family:Sclerotiniaceae,Genus:Monilinia	Monilinia laxa	Monilia cinerea,Oospora cinerea,Sclerotinia cinerea,Sclerotinia laxa	
74	Blosson thrips	https://en.wikipedia.org/wiki/Frankliniella_schultzei	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Thysanoptera,Family:Thripidae,Genus:Frankliniella	Frankliniella schultzei	.mw-parser-output .plainlist,Frankliniella interocellaris,Frankliniella sulphurea,Frankliniella delicatula,Frankliniella dampfi,Frankliniella dampfi,Frankliniella lycopersici,Parafrankliniella nigripes,Frankliniella paucispionosa,Frankliniella sulphurea,Physopus schultzei,Euthrips gossypii,Frankliniella delicatual,Frankliniella trybomi,Frankliniella persetosa,Frankliniella tabacicola,Frankliniella africana,Frankliniella anglicana,Frankliniella aeschyli,Frankliniella kellyana,Frankliniella dampfi,Frankliniella favoniana,Frankliniella pembertoni,Frankliniella clitoriae,Frankliniella schultzei,Frankliniella ipomoeae,Frankliniella insularis	
75	Blue mold	https://en.wikipedia.org/wiki/Penicillium_expansum	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Eurotiomycetes,Order:Eurotiales,Family:Aspergillaceae,Genus:Penicillium	Penicillium expansum	Penicillium crustaceum,Penicillium glaucum	
76	Blue Mold of Tobacco	https://en.wikipedia.org/wiki/Peronospora_hyoscyami_f.sp._tabacina	https://upload.wikimedia.org/wikipedia/commons/7/73/Conidophores_of_Peronospora_tabacina.jpg				 010: table not supplied
77	Blue mold rot (blue green mold)	https://en.wikipedia.org/wiki/Penicillium_expansum	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Eurotiomycetes,Order:Eurotiales,Family:Aspergillaceae,Genus:Penicillium	Penicillium expansum	Penicillium crustaceum,Penicillium glaucum	
78	Boll weevil	https://en.wikipedia.org/wiki/Boll_weevil	https://upload.wikimedia.org/wikipedia/commons/3/35/%22Beat_the_boll_weevil...With_a_little_more_care_at_every_step_you-_not_the_weevils-_get_the_crop._Get_a_good_cotton..._-_NARA_-_512572.jpg	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Coleoptera,Infraorder:Cucujiformia,Family:Curculionidae,Genus:Anthonomus	Anthonomus grandis		 020: Synonym (taxonomy) row not found>
79	Bollworm	https://en.wikipedia.org/wiki/Helicoverpa_armigera	https://upload.wikimedia.org/wikipedia/commons/7/78/Definition_of_Free_Cultural_Works_logo_notext.svg	:Domain:,Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Lepidoptera,Family:Noctuidae,Genus:Helicoverpa	Helicoverpa armigera	Chloridea armigera,Chloridea obsoleta,Helicoverpa commoni,Helicoverpa obsoleta,Heliothis armigera,Heliothis conferta,Heliothis fusca,Heliothis pulverosa,Heliothis rama,Heliothis uniformis,Noctua armigera,Noctua barbara	
80	Botrytis	https://en.wikipedia.org/wiki/Prochloraz	https://upload.wikimedia.org/wikipedia/commons/d/da/Prochloraz.svg				 010: table not supplied
81	Botrytis Blight	https://en.wikipedia.org/wiki/Botrytis_squamosa	https://upload.wikimedia.org/wikipedia/commons/2/2e/Botrytis_squamosa_on_Cepa_allium%2C_bladvlekkenziekte_op_ui.jpg	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Leotiomycetes,Order:Helotiales,Family:Sclerotiniaceae,Genus:Botrytis	Botrytis squamosa		 020: Synonym (taxonomy) row not found>
82	Botrytis leaf spot: Beans	https://en.wikipedia.org/wiki/Botrytis_(fungus)	https://upload.wikimedia.org/wikipedia/commons/e/e4/Aardbei_Lambada_vruchtrot_Botrytis_cinerea.jpg	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Leotiomycetes,Order:Helotiales,Family:Sclerotiniaceae,Genus:BotrytisP.Micheli ex Pers. (1794)		Botrytis P.Micheli,Botrytis sect.,Cephalocladium Rchb.,Haplaria Link,Polyactis Link,Coccotrichum Link,Penicillium Fr.,Pterodinia Chevall.,Phymatotrichum Bonord.,Cristularia (Sacc.)	
83	Botrytis leaf spot: Garlic Onion	https://en.wikipedia.org/wiki/Botrytis_squamosa	https://upload.wikimedia.org/wikipedia/commons/2/2e/Botrytis_squamosa_on_Cepa_allium%2C_bladvlekkenziekte_op_ui.jpg	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Leotiomycetes,Order:Helotiales,Family:Sclerotiniaceae,Genus:Botrytis	Botrytis squamosa		 020: Synonym (taxonomy) row not found>
84	Botrytis leaf spot: Legumes						 caught ex: IndexError: list index out of range page not found 010: table not supplied
85	Botrytis Neck and Bulb Rot	https://en.wikipedia.org/wiki/Garlic	https://upload.wikimedia.org/wikipedia/commons/5/5f/A_garlic_clove_and_its_head.jpg	Kingdom:Plantae,Clade:Tracheophytes,Clade:Angiosperms,Clade:Monocots,Order:Asparagales,Family:Amaryllidaceae,Subfamily:Allioideae,Genus:Allium	Allium sativum	Allium arenarium,Allium controversum,Allium longicuspis,Allium ophioscorodon,Allium pekinense,Porrum ophioscorodon,Porrum sativum	
86	Botrytis rot	https://en.wikipedia.org/wiki/Botrytis_cinerea	https://upload.wikimedia.org/wikipedia/commons/e/e4/Aardbei_Lambada_vruchtrot_Botrytis_cinerea.jpg	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Leotiomycetes,Order:Helotiales,Family:Sclerotiniaceae,Genus:Botrytis	Botrytis cinerea		 020: Synonym (taxonomy) row not found>
87	Broadleaf weeds	https://en.wikipedia.org/wiki/Broadleaf_weeds	None				 010: table not supplied
88	Brown bark rot	https://en.wikipedia.org/wiki/Phellinus	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Domain:Eukaryota,Kingdom:Fungi,Division:Basidiomycota,Class:Agaricomycetes,Order:Hymenochaetales,Family:Hymenochaetaceae,Genus:PhellinusQuél. (1886)			 020: Synonym (taxonomy) row not found>
89	Brown eye spot						 page not found 010: table not supplied
90	Brown leafhopper	https://en.wikipedia.org/wiki/Common_brown_leafhopper	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Hemiptera,Family:Cicadellidae,Genus:Orosius	Orosius orientalis	Orosius argentatus,Thamnotettix argentata	
91	Brown planthopper	https://en.wikipedia.org/wiki/Brown_planthopper	https://upload.wikimedia.org/wikipedia/commons/4/4c/Nilaparvata_lugens_from_CSIRO.jpg	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Hemiptera,Infraorder:Fulgoromorpha,Family:Delphacidae,Subfamily:Delphacinae,Genus:Nilaparvata	Nilaparvata lugens		 020: Synonym (taxonomy) row not found>
92	Brown rot (Phoma disease)	https://en.wikipedia.org/wiki/List_of_carrot_diseases	https://upload.wikimedia.org/wikipedia/en/9/96/Symbol_category_class.svg				 010: table not supplied
93	Buckshot rot	https://en.wikipedia.org/wiki/Snow_mold	None				 010: table not supplied
94	Bugs						 caught ex: DisambiguationError:
"['bug', 'Bugs Bunny', 'Encyclopedia Brown', 'Bugs (2003 film)', 'Bugs (2014 film)', 'Bugs (TV series)', 'Bugs!', '""Bugs"" (Supernatural)', ""episode of Blue's Clues"", '""Bugs"" (Pearl Jam song)', 'Bugs (Theodore Roszak)', 'Bugs! (streaming service)', 'Bugs (nickname)', 'Bayesian inference using Gibbs sampling', 'Birmingham University Guild of Students', 'Bug (disambiguation)', 'Bugsy (disambiguation)', 'Bugz'] 010: table not supplied"							
95	Burrowing nematode	https://en.wikipedia.org/wiki/Radopholus_similis	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Domain:Eukaryota,Kingdom:Animalia,Phylum:Nematoda,Class:Secernentea,Order:Tylenchida,Family:Pratylenchidae,Genus:Radopholus	Radopholus similis		 020: Synonym (taxonomy) row not found>
96	Bush Snail	https://en.wikipedia.org/wiki/Fruticicola_fruticum	https://upload.wikimedia.org/wikipedia/commons/8/85/Fruticicola_fruticum.jpg	Domain:Eukaryota,Kingdom:Animalia,Phylum:Mollusca,Class:Gastropoda,Order:Stylommatophora,Family:Camaenidae,Subfamily:Bradybaeninae,Genus:Fruticicola	Fruticicola fruticum	Bradybaena (Bradybaena),Helix fruticum	
97	Buttonweed	https://en.wikipedia.org/wiki/Spermacoce_alata	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Kingdom:Plantae,Clade:Tracheophytes,Clade:Angiosperms,Clade:Eudicots,Clade:Asterids,Order:Gentianales,Family:Rubiaceae,Subfamily:Rubioideae,Genus:Spermacoce	Spermacoce alata	Bigelovia elata,Borreria alata	
98	Cabbage black leaf spot 	https://en.wikipedia.org/wiki/Alternaria_brassicicola	https://upload.wikimedia.org/wikipedia/commons/b/bb/Alternaria_brassicicola_conidia.jpg	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Pleosporaceae,Genus:Alternaria	Alternaria brassicicola	Alternaria brassicae,Alternaria brassicae,Alternaria circinans,Alternaria oleracea,Helminthosporium brassicae,Helminthosporium brassicicola,Macrosporium cheiranthi,Macrosporium circinans,Macrosporium commune,Polydesmus exitiosus,Polydesmus exitiosus,Sporidesmium exitiosum,Sporidesmium exitiosum,Sporidesmium septorioides	
99	Cabbage black rot	https://en.wikipedia.org/wiki/Xanthomonas_campestris	https://upload.wikimedia.org/wikipedia/commons/0/0f/Average_prokaryote_cell-gl.svg	Domain:Bacteria,Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Xanthomonadales,Family:Xanthomonadaceae,Genus:Xanthomonas	Xanthomonas campestris	Bacillus campestris,Pseudomonas campestris,Bacterium campestris,Phytomonas campestris	
100	Cabbage butterfly	https://en.wikipedia.org/wiki/Pieris_rapae	https://upload.wikimedia.org/wikipedia/commons/6/6b/2nd_Instar_eating.webm	:Male,Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Lepidoptera,Family:Pieridae,Genus:Pieris	Pieris rapae	Papilio rapae,Artogeia rapae	
101	Cabbage cluster caterpillar	https://en.wikipedia.org/wiki/Crocidolomia_pavonana	https://upload.wikimedia.org/wikipedia/commons/6/62/Crocidolomia_pavonana_%28ento-csiro-au%29.jpg	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Lepidoptera,Family:Crambidae,Genus:Crocidolomia	Crocidolomia pavonana	Crocidolomia binotalis,Pionea comalis,Pionea incomalis,Pseudopisara quadripunctata,Tchahbaharia dentalis	
102	Cabbage moth	https://en.wikipedia.org/wiki/Cabbage_looper	https://upload.wikimedia.org/wikipedia/commons/f/f8/Cabbage_looper_in_cocoon.jpg	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Lepidoptera,Family:Noctuidae,Genus:Trichoplusia	Trichoplusia ni	Phytometra brassicae,Plusia innata	
103	Cadelle beetle	https://en.wikipedia.org/wiki/Tenebroides_mauritanicus	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Coleoptera,Infraorder:Cucujiformia,Family:Trogossitidae,Genus:Tenebroides	Tenebroides mauritanicus	Carabus bucephalus,Lucanus dubius,Lucanus fuscus,Tenebroides piceus,Platycerus striatus,Tenebrio caraboides,Tenebrio mauritanicus,Tenebroides complanatus,Trogosita mauritanica,Trogosita nitidus	
104	Calopo	https://en.wikipedia.org/wiki/Calopogonium_mucunoides	https://upload.wikimedia.org/wikipedia/commons/0/0a/Calopogonium_mucunoides_2.jpg	:Twining habit,Kingdom:Plantae,Clade:Tracheophytes,Clade:Angiosperms,Clade:Eudicots,Clade:Rosids,Order:Fabales,Family:Fabaceae,Subfamily:Faboideae,Genus:Calopogonium	Calopogonium mucunoides	Calopogonium brachycarpum,Calopogonium brachycarpum,Calopogonium flavidum,Calopogonium orthocarpum,Stenolobium brachycarpum,Stenolobium brachycarpum	
105	Canker	https://en.wikipedia.org/wiki/Canker	https://upload.wikimedia.org/wikipedia/commons/2/27/Baumkrebs-Birke.jpg				 010: table not supplied
106	Capsid bug	https://en.wikipedia.org/wiki/Miridae	https://upload.wikimedia.org/wikipedia/commons/3/3c/CSIRO_ScienceImage_1820_A_green_mirid_Creontiades_dilutus.jpg	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Hemiptera,Family:MiridaeHahn, 1831			
107	Carabao Grass	https://en.wikipedia.org/wiki/Paspalum_conjugatum	https://upload.wikimedia.org/wikipedia/commons/3/3c/Carabao_grass_%28Paspalum_conjugatum%29_from_the_Philippines.jpg	:The characteristic T-shaped panicle of P. conjugatum,Kingdom:Plantae,Clade:Tracheophytes,Clade:Angiosperms,Clade:Monocots,Clade:Commelinids,Order:Poales,Family:Poaceae,Subfamily:Panicoideae,Genus:Paspalum	Paspalum conjugatum		 020: Synonym (taxonomy) row not found>
108	Carrot bacterial gall	https://en.wikipedia.org/wiki/Rhizobacter	https://upload.wikimedia.org/wikipedia/commons/0/0f/Average_prokaryote_cell-gl.svg	Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Pseudomonadales,Family:Pseudomonadaceae,Genus:RhizobacterGoto and Kuwata 1988[1]			 020: Synonym (taxonomy) row not found>
109	Carrot bacteriosis	https://en.wikipedia.org/wiki/List_of_carrot_diseases	https://upload.wikimedia.org/wikipedia/en/9/96/Symbol_category_class.svg				 010: table not supplied
110	Carrot blight						 page not found 010: table not supplied
111	Carrot canker	https://en.wikipedia.org/wiki/Rhizoctonia_solani	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Domain:Eukaryota,Kingdom:Fungi,Division:Basidiomycota,Class:Agaricomycetes,Order:Cantharellales,Family:Ceratobasidiaceae,Genus:Rhizoctonia	Rhizoctonia solani	Moniliopsis solani	
112	Carrot latent	https://en.wikipedia.org/wiki/List_of_carrot_diseases	https://upload.wikimedia.org/wikipedia/en/9/96/Symbol_category_class.svg				 010: table not supplied
113	Carrot leaf blight	https://en.wikipedia.org/wiki/Cercospora_carotae	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Capnodiales,Family:Mycosphaerellaceae,Genus:Cercospora	Cercospora carotae	Cercospora apii	
114	Carrot Leaf Blight Alternaria dauci 	https://en.wikipedia.org/wiki/Alternaria_dauci	https://upload.wikimedia.org/wikipedia/commons/f/f1/Alternaria_dauci_on_a_carrot_stem.png	Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Pleosporaceae,Genus:Alternaria	Alternaria dauci	Alternaria brassicae,Alternaria brassicae,Alternaria carotae,Alternaria porri,Macrosporium carotae,Macrosporium dauci,Polydesmus exitiosus	
115	Carrot Leaf Blight Cercospora carotae	https://en.wikipedia.org/wiki/Cercospora_carotae	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Capnodiales,Family:Mycosphaerellaceae,Genus:Cercospora	Cercospora carotae	Cercospora apii	
116	Carrot Leaf Blight Xanthomonas campestris	https://en.wikipedia.org/wiki/Xanthomonas_campestris	https://upload.wikimedia.org/wikipedia/commons/0/0f/Average_prokaryote_cell-gl.svg	Domain:Bacteria,Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Xanthomonadales,Family:Xanthomonadaceae,Genus:Xanthomonas	Xanthomonas campestris	Bacillus campestris,Pseudomonas campestris,Bacterium campestris,Phytomonas campestris	
117	Carrot mottle	https://en.wikipedia.org/wiki/Carrot_mottle_virus	https://upload.wikimedia.org/wikipedia/commons/4/49/Carrot-_Aphid_lifecycle.jpg	Kingdom:Orthornavirae,Phylum:Kitrinoviricota,Class:Tolucaviricetes,Order:Tolivirales,Family:Tombusviridae,Genus:Umbravirus			 020: Synonym (taxonomy) row not found>
118	Carrot red leaf	https://en.wikipedia.org/wiki/List_of_carrot_diseases	https://upload.wikimedia.org/wikipedia/en/9/96/Symbol_category_class.svg				 010: table not supplied
119	Carrot thin leaf	https://en.wikipedia.org/wiki/Carrot_thin_leaf_virus	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Kingdom:Orthornavirae,Phylum:Pisuviricota,Class:Stelpaviricetes,Order:Patatavirales,Family:Potyviridae,Genus:Potyvirus			 020: Synonym (taxonomy) row not found>
120	Carrot yellow leaf	https://en.wikipedia.org/wiki/Carrot_yellow-leaf_virus	https://upload.wikimedia.org/wikipedia/commons/4/49/AphidforCYLV.jpg	Kingdom:Orthornavirae,Phylum:Kitrinoviricota,Class:Alsuviricetes,Order:Martellivirales,Family:Closteroviridae,Genus:Closterovirus			 020: Synonym (taxonomy) row not found>
121	Caseworm						 page not found 010: table not supplied
122	Cassava	https://en.wikipedia.org/wiki/Cassava	https://upload.wikimedia.org/wikipedia/commons/2/2a/A_Cassava_Pest_of_the_Southeastern_Nigeria.jpg	:Storage root (waxed),Kingdom:Plantae,Clade:Tracheophytes,Clade:Angiosperms,Clade:Eudicots,Clade:Rosids,Order:Malpighiales,Family:Euphorbiaceae,Genus:Manihot	Manihot esculenta	Janipha aipi,Janipha manihot,Jatropha aipi,Jatropha diffusa,Jatropha digitiformis,Jatropha dulcis,Jatropha flabellifolia,Jatropha loureiroi,Jatropha manihot,Jatropha mitis,Jatropha paniculata,Jatropha silvestris,Jatropha stipulata,Mandioca aipi,Mandioca dulcis,Mandioca utilissima,Manihot aipi,Manihot aypi,Manihot cannabina,Manihot diffusa,Manihot digitiformis,Manihot dulcis,Manihot edule,Manihot edulis,Manihot flabellifolia,Manihot flexuosa,Manihot loureiroi,Manihot melanobasis,Manihot sprucei,Manihot utilissima	
123	Caterpillars						 page not found 010: table not supplied
124	Cavity spot	https://en.wikipedia.org/wiki/List_of_carrot_diseases	https://upload.wikimedia.org/wikipedia/en/9/96/Symbol_category_class.svg				 010: table not supplied
125	Cecid fly						 page not found 010: table not supplied
126	Celery blight	https://en.wikipedia.org/wiki/Cercospora_apii	https://upload.wikimedia.org/wikipedia/commons/0/09/Cercospora_apii.jpg	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Capnodiales,Family:Mycosphaerellaceae,Genus:Cercospora	Cercospora apii		 020: Synonym (taxonomy) row not found>
127	Celery mosaic	https://en.wikipedia.org/wiki/Celery_mosaic_virus	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Kingdom:Orthornavirae,Phylum:Pisuviricota,Class:Stelpaviricetes,Order:Patatavirales,Family:Potyviridae,Genus:Potyvirus		Apium virus,Western celery,Celery crinkle-leaf,Celery ringspot,Poison hemlock	
128	Centro	https://en.wikipedia.org/wiki/Centrosema_pubescens	https://upload.wikimedia.org/wikipedia/commons/e/e0/Centrosema_pubescens_at_Elmina_West_in_Seksyen_U15%2C_Shah_Alam_20231126_102101.jpg	Kingdom:Plantae,Clade:Tracheophytes,Clade:Angiosperms,Clade:Eudicots,Clade:Rosids,Order:Fabales,Family:Fabaceae,Subfamily:Faboideae,Genus:Centrosema	Centrosema pubescens	Bradburya pubescens,Bradburya schiedeana,Centrosema ferrugineum,Centrosema galeottii,Centrosema grandiflorum,Centrosema intermedium,Centrosema molle,Centrosema salzmannii,Centrosema schiedeanum,Clitoria grandiflora,Clitoria schiedeana,Ternatea schiedeana	
129	Ceratocystis rot						 page not found 010: table not supplied
130	Cercospora leaf blight						 page not found 010: table not supplied
131	Cercospora leaf mold						 page not found 010: table not supplied
132	Cercospora leaf spot						 page not found 010: table not supplied
133	Chinese violet	https://en.wikipedia.org/wiki/Asystasia_gangetica	https://upload.wikimedia.org/wikipedia/commons/1/1a/Ara_Songsang.jpg	Kingdom:Plantae,Clade:Tracheophytes,Clade:Angiosperms,Clade:Eudicots,Clade:Asterids,Order:Lamiales,Family:Acanthaceae,Genus:Asystasia	Asystasia gangetica	Asystasia intrusa,Asystasia parvula,Asystasia querimbensis,Asystasia pubescens,Asystasia subhastata,Asystasia quarterna,Asystasia scabrida,Asystasia floribunda,Asystasia coromandeliana,Justicia gangetica,Asystasia bojeriana,Asystasia acuminata,Asystasia coromandeliana,Asystasia multiflora,Asystasia ansellioides,Asystasia podostachys	
134	Cinderella weed						 page not found 010: table not supplied
135	Citrus Alternaria Brown Spot	https://en.wikipedia.org/wiki/Alternaria_alternata	https://upload.wikimedia.org/wikipedia/commons/f/fa/Alternaria_spore_chain_160X.png	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Pleosporaceae,Genus:Alternaria	Alternaria alternata	Alternaria fasciculata,Alternaria rugosa,Alternaria tenuis,Macrosporium fasciculatum,Torula alternata	
136	Citrus black rot	https://en.wikipedia.org/wiki/Alternaria_citri	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Pleosporaceae,Genus:Alternaria	Alternaria citri		 020: Synonym (taxonomy) row not found>
137	Citrus black spot	https://en.wikipedia.org/wiki/Citrus_black_spot	https://upload.wikimedia.org/wikipedia/commons/f/f7/Citrus_Black_Spot.jpg	Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Botryosphaeriales,Family:Botryosphaeriaceae,Genus:Phyllosticta	Phyllosticta citricarpa	Phoma citricarpa,Phoma citricarpa,Phyllosticta citricarpa,Phyllostictina citricarpa	
138	Citrus brown rot						 page not found 010: table not supplied
139	Citrus brown spot	https://en.wikipedia.org/wiki/Alternaria_alternata	https://upload.wikimedia.org/wikipedia/commons/f/fa/Alternaria_spore_chain_160X.png	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Pleosporales,Family:Pleosporaceae,Genus:Alternaria	Alternaria alternata	Alternaria fasciculata,Alternaria rugosa,Alternaria tenuis,Macrosporium fasciculatum,Torula alternata	
140	Citrus Canker	https://en.wikipedia.org/wiki/Xanthomonas	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Domain:Bacteria,Phylum:Pseudomonadota,Class:Gammaproteobacteria,Order:Xanthomonadales,Family:Xanthomonadaceae,Genus:XanthomonasDowson 1939			 020: Synonym (taxonomy) row not found>
141	Citrus Melanose	https://en.wikipedia.org/wiki/Diaporthe_citri	https://upload.wikimedia.org/wikipedia/commons/a/ad/Diaporthe_citri_%2810.3897-mycokeys.77.59999%29_Figure_4.jpg	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Sordariomycetes,Order:Diaporthales,Family:Diaporthaceae,Genus:Diaporthe	Diaporthe citri	Phomopsis californica,Phomopsis caribaea,Phomopsis citri,Phomopsis cytosporella	
142	Citrus rind borer	https://en.wikipedia.org/wiki/Prays_endocarpa	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Lepidoptera,Family:Praydidae,Genus:Prays	Prays endocarpa		 020: Synonym (taxonomy) row not found>
143	Citrus scab	https://en.wikipedia.org/wiki/Elsino%C3%AB_fawcettii	https://upload.wikimedia.org/wikipedia/commons/1/15/Apple_scab_SEM.jpg	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Dothideomycetes,Order:Myriangiales,Family:Elsinoaceae,Genus:Elsinoë	Elsinoë fawcettii	Sphaceloma citri,Sphaceloma fawcettii,Sporotrichum citri	
144	Clubroot	https://en.wikipedia.org/wiki/Clubroot	https://upload.wikimedia.org/wikipedia/commons/3/3f/Club_root_of_crucifers_symptoms.jpg				 010: table not supplied
145	Coconut nut rot 						 page not found 010: table not supplied
146	Coffee berry borer	https://en.wikipedia.org/wiki/Hypothenemus_hampei	https://upload.wikimedia.org/wikipedia/commons/d/d2/Berry-borer.png	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Coleoptera,Infraorder:Cucujiformia,Family:Curculionidae,Genus:Hypothenemus	Hypothenemus hampei	Cryphalus hampei,Stephanoderes hampei,Stephanoderes coffeae,Xyleborus coffeivorus,Xyleborus cofeicola,Hypothenemus coffeae	
147	Coffee berry disease	https://en.wikipedia.org/wiki/Colletotrichum_kahawae	https://upload.wikimedia.org/wikipedia/commons/e/ee/Coffea_Arabica_Healthy_Plant_Leaves_and_Berries.jpg	Kingdom:Fungi,Division:Ascomycota,Class:Sordariomycetes,Order:Glomerellales,Family:Glomerellaceae,Genus:Colletotrichum	Colletotrichum kahawae		 020: Synonym (taxonomy) row not found>
148	Coffee rust						 page not found 010: table not supplied
149	Cogon grass						 page not found 010: table not supplied
150	Colletotrichum nymphaeae	https://en.wikipedia.org/wiki/Colletotrichum	https://upload.wikimedia.org/wikipedia/commons/7/77/Colletotrichum_lindemuthianum.jpg	Domain:Eukaryota,Kingdom:Fungi,Division:Ascomycota,Class:Sordariomycetes,Order:Glomerellales,Family:Glomerellaceae,Genus:ColletotrichumCorda, 1831			 020: Synonym (taxonomy) row not found>
151	Confused flour beetle	https://en.wikipedia.org/wiki/Confused_flour_beetle	https://upload.wikimedia.org/wikipedia/commons/8/8a/OOjs_UI_icon_edit-ltr.svg	Domain:Eukaryota,Kingdom:Animalia,Phylum:Arthropoda,Class:Insecta,Order:Coleoptera,Infraorder:Cucujiformia,Family:Tenebrionidae,Genus:Tribolium	Tribolium confusum		 020: Synonym (taxonomy) row not found>
152	Corm rot						 page not found 010: table not supplied
153	Corm weevil						 page not found 010: table not supplied
